timeseries_id,timestamp,value,recorded_at
B207.T94-2-1:d,2025-01-01 00:00:00.000,93190.016,
B207.T94-2-1:d,2025-01-02 00:00:00.000,93236.504,
B207.T94-2-1:d,2025-01-03 00:00:00.000,93287.198,
B207.T94-2-1:d,2025-01-04 00:00:00.000,93329.639,
B207.T94-2-1:d,2025-01-05 00:00:00.000,93372.458,
B207.T94-2-1:d,2025-01-06 00:00:00.000,93407.671,
B207.T94-2-1:d,2025-01-07 00:00:00.000,93452.305,
B207.T94-2-1:d,2025-01-08 00:00:00.000,93496.186,
B207.T94-2-1:d,2025-01-09 00:00:00.000,93543.688,
B207.T94-2-1:d,2025-01-10 00:00:00.000,93591.37,
B207.T94-2-1:d,2025-01-11 00:00:00.000,93628.608,
B207.T94-2-1:d,2025-01-12 00:00:00.000,93669.404,
B207.T94-2-1:d,2025-01-13 00:00:00.000,93708.927,
B207.T94-2-1:d,2025-01-14 00:00:00.000,93747.19,
B207.T94-2-1:d,2025-01-15 00:00:00.000,93788.561,
B207.T94-2-1:d,2025-01-16 00:00:00.000,93825.841,
B207.T94-2-1:d,2025-01-17 00:00:00.000,93858.321,
B207.T94-2-1:d,2025-01-18 00:00:00.000,93886.539,
B207.T94-2-1:d,2025-01-19 00:00:00.000,93914.685,
B207.T94-2-1:d,2025-01-20 00:00:00.000,93952.269,
B207.T94-2-1:d,2025-01-21 00:00:00.000,93996.207,
B207.T94-2-1:d,2025-01-22 00:00:00.000,94051.132,
B207.T94-2-1:d,2025-01-23 00:00:00.000,94104.247,
B207.T94-2-1:d,2025-01-24 00:00:00.000,94150.246,
B207.T94-2-1:d,2025-01-25 00:00:00.000,94183.475,
B207.T94-2-1:d,2025-01-26 00:00:00.000,94218.23,
B207.T94-2-1:d,2025-01-27 00:00:00.000,94261.641,
B207.T94-2-1:d,2025-01-28 00:00:00.000,94304.449,
B207.T94-2-1:d,2025-01-29 00:00:00.000,94350.067,
B207.T94-2-1:d,2025-01-30 00:00:00.000,94394.67,
B207.T94-2-1:d,2025-01-31 00:00:00.000,94437.32,
B207.T94-2-1:d,2025-02-01 00:00:00.000,94472.937,
B207.T94-2-1:d,2025-02-02 00:00:00.000,94509.592,
B207.T94-2-1:d,2025-02-03 00:00:00.000,94558.183,
B207.T94-2-1:d,2025-02-04 00:00:00.000,94609.012,
B207.T94-2-1:d,2025-02-05 00:00:00.000,94661.963,
B207.T94-2-1:d,2025-02-06 00:00:00.000,94714.173,
B207.T94-2-1:d,2025-02-07 00:00:00.000,94772.938,
B207.T94-2-1:d,2025-02-08 00:00:00.000,94835.024,
B207.T94-2-1:d,2025-02-09 00:00:00.000,94891.643,
B207.T94-2-1:d,2025-02-10 00:00:00.000,94936.4,
B207.T94-2-1:d,2025-02-11 00:00:00.000,94979.479,
B207.T94-2-1:d,2025-02-12 00:00:00.000,95017.807,
B207.T94-2-1:d,2025-02-13 00:00:00.000,95063.944,
B207.T94-2-1:d,2025-02-14 00:00:00.000,95113.585,
B207.T94-2-1:d,2025-02-15 00:00:00.000,95160.572,
B207.T94-2-1:d,2025-02-16 00:00:00.000,95208.575,
B207.T94-2-1:d,2025-02-17 00:00:00.000,95260.548,
B207.T94-2-1:d,2025-02-18 00:00:00.000,95316.376,
B207.T94-2-1:d,2025-02-19 00:00:00.000,95369.38,
B207.T94-2-1:d,2025-02-20 00:00:00.000,95412.083,
B207.T94-2-1:d,2025-02-21 00:00:00.000,95452.284,
B207.T94-2-1:d,2025-02-22 00:00:00.000,95491.342,
B207.T94-2-1:d,2025-02-23 00:00:00.000,95529.04,
B207.T94-2-1:d,2025-02-24 00:00:00.000,95570.901,
B207.T94-2-1:d,2025-02-25 00:00:00.000,95614.387,
B207.T94-2-1:d,2025-02-26 00:00:00.000,95655.449,
B207.T94-2-1:d,2025-02-27 00:00:00.000,95691.062,
B207.T94-2-1:d,2025-02-28 00:00:00.000,95729.542,
B207.T94-2-1:d,2025-03-01 00:00:00.000,95760.259,
B207.T94-2-1:d,2025-03-02 00:00:00.000,95788.663,
B207.T94-2-1:d,2025-03-03 00:00:00.000,95823.789,
B207.T94-2-1:d,2025-03-04 00:00:00.000,95862.806,
B207.T94-2-1:d,2025-03-05 00:00:00.000,95905.144,
B207.T94-2-1:d,2025-03-06 00:00:00.000,95943.595,
B207.T94-2-1:d,2025-03-07 00:00:00.000,95981.22,
B207.T94-2-1:d,2025-03-08 00:00:00.000,96012.239,
B207.T94-2-1:d,2025-03-09 00:00:00.000,96037.48,
B207.T94-2-1:d,2025-03-10 00:00:00.000,96071.126,
B207.T94-2-1:d,2025-03-11 00:00:00.000,96108.711,
B207.T94-2-1:d,2025-03-12 00:00:00.000,96149.793,
B207.T94-2-1:d,2025-03-13 00:00:00.000,96186.797,
B207.T94-2-1:d,2025-03-14 00:00:00.000,96223.983,
B207.T94-2-1:d,2025-03-15 00:00:00.000,96252.131,
B207.T94-2-1:d,2025-03-16 00:00:00.000,96280.374,
B207.T94-2-1:d,2025-03-17 00:00:00.000,96319.271,
B207.T94-2-1:d,2025-03-18 00:00:00.000,96356.656,
B207.T94-2-1:d,2025-03-19 00:00:00.000,96401.133,
B207.T94-2-1:d,2025-03-20 00:00:00.000,96448.556,
B207.T94-2-1:d,2025-03-21 00:00:00.000,96492.343,
B207.T94-2-1:d,2025-03-22 00:00:00.000,96519.237,
B207.T94-2-1:d,2025-03-23 00:00:00.000,96546.248,
B207.T94-2-1:d,2025-03-24 00:00:00.000,96581.746,
B207.T94-2-1:d,2025-03-25 00:00:00.000,96618.291,
B207.T94-2-1:d,2025-03-26 00:00:00.000,96656.252,
B207.T94-2-1:d,2025-03-27 00:00:00.000,96697.266,
B207.T94-2-1:d,2025-03-28 00:00:00.000,96742.785,
B207.T94-2-1:d,2025-03-29 00:00:00.000,96780.817,
B207.T94-2-1:d,2025-03-30 00:00:00.000,96812.299,
B207.T94-2-1:d,2025-03-31 00:00:00.000,96849.755,
B207.T94-2-1:d,2025-04-01 00:00:00.000,96878.6,
B207.T94-2-1:d,2025-04-02 00:00:00.000,96905.497,
B207.T94-2-1:d,2025-04-03 00:00:00.000,96934.244,
B207.T94-2-1:d,2025-04-04 00:00:00.000,96966.912,
B207.T94-2-1:d,2025-04-05 00:00:00.000,96990.153,
B207.T94-2-1:d,2025-04-06 00:00:00.000,97013.191,
B207.T94-2-1:d,2025-04-07 00:00:00.000,97040.774,
B207.T94-2-1:d,2025-04-08 00:00:00.000,97077.218,
B207.T94-2-1:d,2025-04-09 00:00:00.000,97115.272,
B207.T94-2-1:d,2025-04-10 00:00:00.000,97158.688,
B207.T94-2-1:d,2025-04-11 00:00:00.000,97201.334,
B207.T94-2-1:d,2025-04-12 00:00:00.000,97236.023,
B207.T94-2-1:d,2025-04-13 00:00:00.000,97269.928,
B207.T94-2-1:d,2025-04-14 00:00:00.000,97310.047,
B207.T94-2-1:d,2025-04-15 00:00:00.000,97349.467,
B207.T94-2-1:d,2025-04-16 00:00:00.000,97385.722,
B207.T94-2-1:d,2025-04-17 00:00:00.000,97417.411,
B207.T94-2-1:d,2025-04-18 00:00:00.000,97441.331,
B207.T94-2-1:d,2025-04-19 00:00:00.000,97463.499,
B207.T94-2-1:d,2025-04-20 00:00:00.000,97486.186,
B207.T94-2-1:d,2025-04-21 00:00:00.000,97509.285,
B207.T94-2-1:d,2025-04-22 00:00:00.000,97541.949,
B207.T94-2-1:d,2025-04-23 00:00:00.000,97575.94,
B207.T94-2-1:d,2025-04-24 00:00:00.000,97612.23,
B207.T94-2-1:d,2025-04-25 00:00:00.000,97648.376,
B207.T94-2-1:d,2025-04-26 00:00:00.000,97680.62,
B207.T94-2-1:d,2025-04-27 00:00:00.000,97703.009,
