SourceID,QuantityID,MinTimestampUtc,MaxTimestampUtc
6,1,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,2,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,3,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,4,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,5,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,6,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,10,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,11,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,12,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,22,2019-10-11 12:00:00.0000000,2026-01-22 08:00:00.0000000
6,23,2019-10-11 12:00:00.0000000,2026-01-22 08:00:00.0000000
6,24,2019-10-11 12:00:00.0000000,2026-01-22 08:00:00.0000000
6,25,2019-10-11 12:00:00.0000000,2026-01-22 08:00:00.0000000
6,27,2019-10-11 12:00:00.0000000,2026-01-22 08:00:00.0000000
6,28,2019-10-11 12:00:00.0000000,2026-01-22 08:00:00.0000000
6,29,2019-10-11 12:00:00.0000000,2026-01-22 08:00:00.0000000
6,30,2019-10-11 12:00:00.0000000,2026-01-22 08:00:00.0000000
6,32,2019-10-11 12:00:00.0000000,2026-01-22 08:00:00.0000000
6,33,2019-10-11 12:00:00.0000000,2026-01-22 08:00:00.0000000
6,34,2019-10-11 12:00:00.0000000,2026-01-22 08:00:00.0000000
6,35,2019-10-11 12:00:00.0000000,2026-01-22 08:00:00.0000000
6,37,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,56,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,57,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,58,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,63,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,69,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,88,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,89,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,90,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,91,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,96,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,97,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,101,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,106,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,107,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,126,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,127,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,128,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,129,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,134,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,135,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,139,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,144,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,145,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,146,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,147,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,148,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,149,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,150,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,152,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,153,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,154,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,156,2019-10-11 12:00:00.0000000,2026-01-22 08:00:00.0000000
6,157,2019-10-11 12:00:00.0000000,2026-01-22 08:00:00.0000000
6,159,2019-10-11 12:00:00.0000000,2026-01-22 08:00:00.0000000
6,160,2019-10-11 12:00:00.0000000,2026-01-22 08:00:00.0000000
6,162,2019-10-11 12:00:00.0000000,2026-01-22 08:00:00.0000000
6,163,2019-10-11 12:00:00.0000000,2026-01-22 08:00:00.0000000
6,168,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,169,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,170,2019-10-11 11:30:00.0000000,2026-01-22 08:00:00.0000000
6,178,2019-11-16 05:33:06.0000000,2025-07-29 20:10:43.0000000
6,179,2019-11-16 05:33:06.0000000,2025-07-29 20:10:43.0000000
6,180,2019-11-16 05:33:06.0000000,2025-07-29 20:10:43.0000000
6,181,2019-11-16 05:33:06.0000000,2025-07-29 20:10:43.0000000
6,211,2021-05-22 04:40:24.3085498,2024-06-17 05:55:28.1834540
6,212,2021-05-22 04:40:24.3085498,2024-06-17 05:55:28.1834540
6,213,2021-05-22 04:40:24.3085498,2024-06-17 05:55:28.1834540
6,214,2021-05-22 04:40:24.3085498,2024-06-17 05:55:28.1834540
6,215,2019-11-15 12:00:00.0000000,2025-08-04 10:40:00.0000000
6,216,2019-11-15 12:00:00.0000000,2025-08-04 10:40:00.0000000
6,217,2019-11-15 12:00:00.0000000,2025-08-04 10:40:00.0000000
6,218,2019-11-15 12:00:00.0000000,2025-08-04 10:40:00.0000000
